IES - SIGLA,IES - NOME,Endereço,Município,UF,Latitude,Longitude,Homepage,Status Jurídico,Áreas de pesquisa,Temas específicos de pequisa,Área Conhecimento,Grande Área,Especialização,Mestrado,Doutorado
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,BIOLOGIA EXPERIMENTAL - CIÊNCIAS BIOLÓGICAS III,Não informado,PARASITOLOGIA                                               ,CIÊNCIAS BIOLÓGICAS                                         ,SIM,NÃO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,BIOLOGIA EXPERIMENTAL - CIÊNCIAS BIOLÓGICAS III,Não informado,PARASITOLOGIA                                               ,CIÊNCIAS BIOLÓGICAS                                         ,SIM,NÃO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE - INTERDISCIPLINAR,Não informado,MEIO AMBIENTE E AGRÁRIAS                                    ,MULTIDISCIPLINAR                                            ,SIM,SIM,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE - INTERDISCIPLINAR,Não informado,MEIO AMBIENTE E AGRÁRIAS                                    ,MULTIDISCIPLINAR                                            ,SIM,NÃO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE - INTERDISCIPLINAR,Não informado,MEIO AMBIENTE E AGRÁRIAS                                    ,MULTIDISCIPLINAR                                            ,SIM,NÃO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,GEOGRAFIA,Não informado,GEOGRAFIA                                                   ,CIÊNCIAS HUMANAS                                            ,SIM,SIM,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,GEOGRAFIA,Não informado,GEOGRAFIA                                                   ,CIÊNCIAS HUMANAS                                            ,SIM,NÃO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,GEOGRAFIA,Não informado,GEOGRAFIA                                                   ,CIÊNCIAS HUMANAS                                            ,SIM,NÃO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,GEOGRAFIA,Não informado,GEOGRAFIA                                                   ,CIÊNCIAS HUMANAS                                            ,SIM,NÃO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,"ADMINISTRAÇÃO - ADM PÚBLICA E DE EMPRESAS, C CONTÁBEIS E TURISMO",Não informado,ADMINISTRAÇÃO                                               ,CIÊNCIAS SOCIAIS APLICADAS                                  ,SIM,SIM,NÃO
