IES - SIGLA,IES - NOME,Endereço,Município,UF,Latitude,Longitude,Homepage,Status Jurídico,Áreas de pesquisa,Programa de Pós-graduação,Período do inscrição – Início,Período do inscrição – Fim,Área Conhecimento,Especialização,Nota de Avaliação – Especialização – MEC,Mestrado,Doutorado,Nota de Avaliação – Pós-graduação – Capes
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,BIOLOGIA EXPERIMENTAL - CIÊNCIAS BIOLÓGICAS III,PARASITOLOGIA                                               ,18/04/26,18/05/26,PARASITOLOGIA                                               ,SIM,5,NÃO,SIM,5
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,BIOLOGIA EXPERIMENTAL - CIÊNCIAS BIOLÓGICAS III,PARASITOLOGIA                                               ,18/04/26,18/05/26,PARASITOLOGIA                                               ,SIM,5,NÃO,SIM,5
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE - INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS                                    ,18/04/26,18/05/26,MEIO AMBIENTE E AGRÁRIAS                                    ,SIM,5,SIM,SIM,5
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE - INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS                                    ,18/04/26,18/05/26,MEIO AMBIENTE E AGRÁRIAS                                    ,SIM,5,NÃO,SIM,5
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE - INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS                                    ,18/04/26,18/05/26,MEIO AMBIENTE E AGRÁRIAS                                    ,SIM,5,NÃO,SIM,5
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,GEOGRAFIA,GEOGRAFIA                                                   ,18/04/26,18/05/26,GEOGRAFIA                                                   ,SIM,5,SIM,SIM,5
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,GEOGRAFIA,GEOGRAFIA                                                   ,18/04/26,18/05/26,GEOGRAFIA                                                   ,SIM,5,NÃO,SIM,5
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,GEOGRAFIA,GEOGRAFIA                                                   ,18/04/26,18/05/26,GEOGRAFIA                                                   ,SIM,5,NÃO,SIM,5
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,GEOGRAFIA,GEOGRAFIA                                                   ,18/04/26,18/05/26,GEOGRAFIA                                                   ,SIM,5,NÃO,SIM,5
UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,"-8,7635437","-63,9065259",https://propesq.unir.br/homepage,Federal,"ADMINISTRAÇÃO - ADM PÚBLICA E DE EMPRESAS, C CONTÁBEIS E TURISMO",ADMINISTRAÇÃO                                               ,18/04/26,18/05/26,ADMINISTRAÇÃO                                               ,SIM,5,SIM,NÃO,5
