IES - SIGLA,IES - NOME,Endereço,Município,UF,Latitude,Longitude,Homepage,Status Jurídico,Áreas de pesquisa,Temas específicos de pequisa,Área Conhecimento,Grande Área,Especialização,Mestrado,Doutorado
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,BIOLOGIA EXPERIMENTAL - CIENCIAS BIOLOGICAS III,Nao informado,PARASITOLOGIA                                               ,CIENCIAS BIOLOGICAS                                         ,SIM,NAO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,BIOLOGIA EXPERIMENTAL - CIENCIAS BIOLOGICAS III,Nao informado,PARASITOLOGIA                                               ,CIENCIAS BIOLOGICAS                                         ,SIM,NAO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE - INTERDISCIPLINAR,Nao informado,MEIO AMBIENTE E AGRARIAS                                    ,MULTIDISCIPLINAR                                            ,SIM,SIM,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE - INTERDISCIPLINAR,Nao informado,MEIO AMBIENTE E AGRARIAS                                    ,MULTIDISCIPLINAR                                            ,SIM,NAO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE - INTERDISCIPLINAR,Nao informado,MEIO AMBIENTE E AGRARIAS                                    ,MULTIDISCIPLINAR                                            ,SIM,NAO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,GEOGRAFIA,Nao informado,GEOGRAFIA                                                   ,CIENCIAS HUMANAS                                            ,SIM,SIM,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,GEOGRAFIA,Nao informado,GEOGRAFIA                                                   ,CIENCIAS HUMANAS                                            ,SIM,NAO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,GEOGRAFIA,Nao informado,GEOGRAFIA                                                   ,CIENCIAS HUMANAS                                            ,SIM,NAO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,GEOGRAFIA,Nao informado,GEOGRAFIA                                                   ,CIENCIAS HUMANAS                                            ,SIM,NAO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,"ADMINISTRACAO - ADM PUBLICA E DE EMPRESAS, C CONTABEIS E TURISMO",Nao informado,ADMINISTRACAO                                               ,CIENCIAS SOCIAIS APLICADAS                                  ,SIM,SIM,NAO
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,"ADMINISTRACAO - ADM PUBLICA E DE EMPRESAS, C CONTABEIS E TURISMO",Nao informado,ADMINISTRACAO                                               ,CIENCIAS SOCIAIS APLICADAS                                  ,SIM,NAO,SIM
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,PSICOLOGIA,Nao informado,PSICOLOGIA                                                  ,CIENCIAS HUMANAS                                            ,SIM,SIM,NAO
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,PSICOLOGIA,Nao informado,PSICOLOGIA                                                  ,CIENCIAS HUMANAS                                            ,SIM,SIM,NAO
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,Letras - LINGUISTICA E LITERATURA,Nao informado,LETRAS                                                      ,"LINGUISTICA, LETRAS E ARTES                                 ",SIM,SIM,NAO
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,Letras - LINGUISTICA E LITERATURA,Nao informado,LETRAS                                                      ,"LINGUISTICA, LETRAS E ARTES                                 ",SIM,SIM,NAO
UNIR,UNIVERSIDADE FEDERAL DE RONDONIA,"Av. Pres. Dutra, 2965 - Olaria, Porto Velho - RO, 76801-052, Brazil",PORTO VELHO,RO,-8.7635437,-63.9065259,https://propesq.unir.br/homepage,Federal,Letras - LINGUISTICA E LITERATURA,Nao informado,LETRAS                                                      ,"LINGUISTICA, LETRAS E ARTES                                 ",SIM,NAO,SIM
