AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;CD_PROGRAMA_IES;NM_PROGRAMA_IES;CD_CURSO_PPG;NM_CURSO;NM_GRAU_CURSO;CD_CONCEITO_CURSO;AN_INICIO_PREVISTO;DS_SITUACAO_CURSO;DT_SITUACAO_CURSO;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2024;MULTIDISCIPLINAR;ENSINO;ENSINO DE CIÊNCIAS E MATEMÁTICA;NÃO SE APLICA;46;ENSINO;32010010;596;UFVJM;UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;MG;DIAMANTINA;32010010046P0;EDUCAÇÃO EM CIÊNCIAS, MATEMÁTICA E TECNOLOGIA;32010010046F2;EDUCAÇÃO EM CIÊNCIAS, MATEMÁTICA E TECNOLOGIA;MESTRADO PROFISSIONAL;3;2019;EM FUNCIONAMENTO;25FEB2020:00:00:00;259421;195229
2024;ENGENHARIAS;ENGENHARIA QUÍMICA;NÃO SE APLICA;NÃO SE APLICA;12;ENGENHARIAS II;32001010;575;UFMG;UNIVERSIDADE FEDERAL DE MINAS GERAIS;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;MG;BELO HORIZONTE;32001010044P8;ENGENHARIA QUÍMICA;32001010044D10;ENGENHARIA QUÍMICA;DOUTORADO;4;2024;EM FUNCIONAMENTO;28AUG2024:00:00:00;258001;193972
2024;MULTIDISCIPLINAR;CIÊNCIAS AMBIENTAIS;NÃO SE APLICA;NÃO SE APLICA;49;CIÊNCIAS AMBIENTAIS;33002010;55;USP;UNIVERSIDADE DE SÃO PAULO;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;SP;SÃO PAULO;33002010145P8;CIÊNCIA AMBIENTAL;33002010145M8;CIÊNCIA AMBIENTAL;MESTRADO;7;1990;EM FUNCIONAMENTO;18SEP2012:00:00:00;259799;195562
2024;LINGÜÍSTICA, LETRAS E ARTES;LINGÜÍSTICA;LINGÜÍSTICA APLICADA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;33005010;546;PUCSP;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;PARTICULAR;PRIVADA;UNIVERSIDADE;SUDESTE;SP;SÃO PAULO;33005010023P2;LINGÜÍSTICA APLICADA E ESTUDOS DA LINGUAGEM;33005010023D3;LINGÜÍSTICA APLICADA E ESTUDOS DA LINGUAGEM;DOUTORADO;5;1979;EM FUNCIONAMENTO;18SEP2012:00:00:00;259237;195068
2024;CIÊNCIAS DA SAÚDE;MEDICINA;RADIOLOGIA MÉDICA;NÃO SE APLICA;16;MEDICINA II;33002029;55;USP-RIBEIRÃO PRETO;UNIVERSIDADE DE SÃO PAULO - CAMPUS RIBEIRÃO PRETO;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;SP;SÃO PAULO;33002029022P9;FÍSICA APLICADA À MEDICINA E BIOLOGIA;33002029022D0;FÍSICA APLICADA À MEDICINA E BIOLOGIA;DOUTORADO;5;1995;EM FUNCIONAMENTO;10JAN2018:00:00:00;256945;193219
2024;MULTIDISCIPLINAR;INTERDISCIPLINAR;ENGENHARIA, TECNOLOGIA E GESTÃO;NÃO SE APLICA;45;INTERDISCIPLINAR;33004056;56;UNESP-BAURU;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS BAURU;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;SP;BAURU;33004056092P6;MÍDIA E TECNOLOGIA;33004056092D7;MÍDIA E TECNOLOGIA;DOUTORADO;4;2016;EM FUNCIONAMENTO;17MAY2016:00:00:00;258913;194843
2024;CIÊNCIAS EXATAS E DA TERRA;QUÍMICA;NÃO SE APLICA;NÃO SE APLICA;4;QUÍMICA;40002012;9;UEL;UNIVERSIDADE ESTADUAL DE LONDRINA;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUL;PR;LONDRINA;40002012018P6;QUÍMICA;40002012018M6;QUÍMICA;MESTRADO;5;2000;EM FUNCIONAMENTO;18SEP2012:00:00:00;257996;193967
2024;CIÊNCIAS DA SAÚDE;ENFERMAGEM;NÃO SE APLICA;NÃO SE APLICA;20;ENFERMAGEM;31004016;547;UERJ;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31004016026P6;ENFERMAGEM;31004016026M6;ENFERMAGEM;MESTRADO;5;1998;EM FUNCIONAMENTO;18SEP2012:00:00:00;261355;196663
2024;CIÊNCIAS HUMANAS;FILOSOFIA;NÃO SE APLICA;NÃO SE APLICA;33;FILOSOFIA;53001010;2;UNB;UNIVERSIDADE DE BRASÍLIA;FEDERAL;PÚBLICA;UNIVERSIDADE;CENTRO-OESTE;DF;BRASÍLIA;53001010048P6;FILOSOFIA;53001010048M6;FILOSOFIA;MESTRADO;5;1999;EM FUNCIONAMENTO;03JUN2020:00:00:00;262907;197538
2024;CIÊNCIAS EXATAS E DA TERRA;ASTRONOMIA;NÃO SE APLICA;NÃO SE APLICA;3;ASTRONOMIA / FÍSICA;31001017;586;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31001017118P9;ASTRONOMIA;31001017118D0;ASTRONOMIA;DOUTORADO;4;2010;EM FUNCIONAMENTO;30MAR2011:00:00:00;263636;197911
2024;CIÊNCIAS SOCIAIS APLICADAS;ECONOMIA;NÃO SE APLICA;NÃO SE APLICA;28;ECONOMIA;31005012;528;PUC-RIO;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PARTICULAR;PRIVADA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31005012008P4;ECONOMIA;31005012008M4;ECONOMIA;MESTRADO;7;1978;EM FUNCIONAMENTO;18SEP2012:00:00:00;260376;195990
2024;CIÊNCIAS DA SAÚDE;FISIOTERAPIA E TERAPIA OCUPACIONAL;NÃO SE APLICA;NÃO SE APLICA;21;EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL;22001018;583;UFC;UNIVERSIDADE FEDERAL DO CEARÁ;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;CE;FORTALEZA;22001018175P7;FISIOTERAPIA E FUNCIONALIDADE;22001018175M7;FISIOTERAPIA E FUNCIONALIDADE;MESTRADO;3;2019;EM FUNCIONAMENTO;06AUG2019:00:00:00;263667;197942
